,,,,,,,,,,,,,,,,,,,,,,,
,Abhimanyu,Arjuna,Ashwatthama,Bhima,Bhishma,Dhritarashtra,Draupadi,Drona,Duryodhana,Dushasana,Gandhari,Ghatotkacha,Karna,Kripa,Krishna,Kunti,Nakula,Sahadeva,Shakuni,Shikhandi,Vidura,Vyasa,Yudhishthira
Abhimanyu,0,1,0,5,8,8,5,10,5,5,9,4,5,10,5,8,5,5,0,0,9,9,5
Arjuna,1,0,7,3,8,5,2,6,4,4,5,5,10,6,7,1,3,3,10,9,8,8,3
Ashwatthama,5,10,0,10,0,7,0,1,7,7,0,10,7,5,10,0,10,10,0,0,0,6,10
Bhima,8,3,0,0,5,5,2,6,4,4,5,1,10,6,4,1,3,3,10,9,0,8,3
Bhishma,5,5,0,5,0,4,5,0,5,5,5,8,0,0,6,9,5,0,0,10,7,6,5
Dhritarashtra,8,5,10,5,0,0,1,0,1,1,2,8,7,6,10,9,5,5,9,0,3,1,5
Draupadi,5,2,10,2,5,9,0,0,10,10,0,5,10,10,7,1,2,2,0,3,0,0,2
Drona,8,6,2,6,7,7,0,0,6,6,0,0,0,0,0,0,6,6,0,0,7,0,6
Duryodhana,5,4,7,4,5,1,0,6,0,3,1,5,7,6,10,5,4,4,5,0,0,8,4
Dushasana,5,4,7,4,5,1,10,6,3,0,1,5,7,6,10,5,4,4,5,0,0,8,4
Gandhari,8,5,0,5,9,2,0,0,1,1,0,0,0,6,10,9,5,5,3,0,0,9,5
Ghatotkacha,3,5,0,1,8,8,5,0,5,5,0,0,10,0,5,8,5,5,0,9,0,9,5
Karna,10,10,0,10,0,0,10,0,7,0,0,0,0,0,7,1,0,10,7,0,0,0,10
Kripa,0,6,5,6,0,0,0,9,6,6,0,0,0,0,0,0,6,6,0,0,0,0,6
Krishna,5,7,10,7,6,10,7,7,10,10,10,0,6,0,0,5,4,4,0,7,7,0,4
Kunti,8,1,0,1,9,9,1,1,5,5,9,8,1,0,5,0,1,1,0,0,7,9,1
Nakula,5,3,10,3,8,5,2,6,4,4,5,5,0,6,4,1,0,3,8,9,5,6,3
Sahadeva,5,3,10,3,5,5,2,0,4,4,5,5,0,6,4,1,3,0,10,0,0,8,3
Shakuni,10,10,7,10,0,7,10,10,5,5,3,0,7,0,0,0,10,10,0,0,0,0,10
Shikhandi,5,7,10,9,10,0,3,3,0,0,0,5,0,0,7,0,9,9,0,0,0,0,9
Vidura,0,5,0,5,7,4,0,7,5,5,0,0,0,7,0,0,5,5,0,0,0,1,5
Vyasa,9,8,6,8,6,1,0,0,8,8,9,9,0,0,0,9,8,8,0,0,1,0,8
Yudhishthira,5,3,10,3,5,5,2,6,4,4,5,5,3,6,7,1,3,3,10,9,5,8,0
