name,color,entity
Abhimanyu,#087FBD,party
Adhiratha,#F02233,party
Ahilawati,#FDBB30,party
Amba,#8091ab,donor
Ambika,#8091ab,donor
Ambalika,#8091ab,donor
Arjuna,#8091ab,donor
Ashtabharya Draws,#8091ab,donor
Ashwatthama,#8091ab,donor
Babruvahana,#8091ab,donor
Balarama,#8091ab,donor
Barbarika,#8091ab,donor
Bhagadatta,#8091ab,donor
Bharata,#8091ab,donor
Bhima,#8091ab,donor
Bhishma,#8091ab,donor
Bhurishravas,#8091ab,donor
Chitrangada,#8091ab,donor
Devika,#8091ab,donor
Dhrishtadyumna,#8091ab,donor
Dhritarashtra,#8091ab,donor
Draupadi,#8091ab,donor
Drona,#8091ab,donor
Drupada,#8091ab,donor
Duhsala,#8091ab,donor
Duryodhana,#8091ab,donor
Dushasana,#8091ab,donor
Dushyanta,#8091ab,donor
Gandhari,#8091ab,donor
Ganges,#8091ab,donor
Ghatotkacha,#8091ab,donor
Hidimbi,#8091ab,donor
Indra,#8091ab,donor
Iravan,#8091ab,donor
Janamejaya,#8091ab,donor
Jarasandha,#8091ab,donor
Jayadratha,#8091ab,donor
Kakudmi,#8091ab,donor
Karna,#8091ab,donor
Kichaka,#8091ab,donor
Kripa,#8091ab,donor
Krishna,#8091ab,donor
Kritavarma,#8091ab,donor
Kunti,#8091ab,donor
Kunti-Bhoja,#8091ab,donor
Laxman Kumara,#8091ab,donor
Madri,#8091ab,donor
Nahusha,#8091ab,donor
Nakula,#8091ab,donor
Panchjana,#8091ab,donor
Pandu,#8091ab,donor
Parikshita,#8091ab,donor
Prapaksha Kamboja,#8091ab,donor
Purochana,#8091ab,donor
Radha,#8091ab,donor
Revati,#8091ab,donor
Rukmi,#8091ab,donor
Sahadeva,#8091ab,donor
Sanjaya,#8091ab,donor
Satyaki,#8091ab,donor
Satyavati,#8091ab,donor
Shakuni,#8091ab,donor
Shakuntala,#8091ab,donor
Shalya,#8091ab,donor
Shantanu,#8091ab,donor
Shikhandi,#8091ab,donor
Shurusena,#8091ab,donor
Subhadra,#8091ab,donor
Sudakshina,#8091ab,donor
Sudeshna,#8091ab,donor
Takshaka,#8091ab,donor
Tilottama,#8091ab,donor
Tumburu,#8091ab,donor
Uluka,#8091ab,donor
Ulupi,#8091ab,donor
Upapandavas,#8091ab,donor
Uttara,#8091ab,donor
Uttar,#8091ab,donor
Vasudeva,#8091ab,donor
Vichitravirya,#8091ab,donor
Vidura,#8091ab,donor
Vikarna,#8091ab,donor
Virata,#8091ab,donor
Vrushali,#8091ab,donor
Vyasa,#8091ab,donor
Yudhishthira,#8091ab,donor
Yuyutsu,#8091ab,donor
Musicians Union,#8091ab,donor
Richard Duncalf,#8091ab,donor
Margaret Louisa Evans,#8091ab,donor
Lord Sugar,#8091ab,donor
KPMG,#8091ab,donor
Allam Marine,#8091ab,donor
Manchester Lab Grp,#8091ab,donor
Richard Brindle,#8091ab,donor
Toni and Guy,#8091ab,donor
Lionel Cooke Fund,#8091ab,donor
Croydon Lab Grp,#8091ab,donor
Betterworld,#8091ab,donor
Liverpool Lab Grp,#8091ab,donor
Thomas Fraser,#8091ab,donor
Haringey Lab Grp,#8091ab,donor
Oldham LD 	Grp,#8091ab,donor
United Wholesale,#8091ab,donor
